IDN5,NM5,IDN4,NM4,IDN3,NM3,IDN2,NM2,NUTS3,NUTS3_CODE,LAU1,LAU1_CODE,LAU2,LAU2_CODE,x,y,x_long,y_lat
820831,Chocholná-Velčice,506087,Chocholná-Velčice,309,Trenčín,3,Trenčiansky,Trenčiansky kraj,SK022,Trenčín,SK0229,Chocholná-Velčice,SK0229506087,-507388.508613976,-1203478.8692862,17.901555167468,48.8935711859904
820849,Choňkovce,522503,Choňkovce,809,Sobrance,8,Košický,Košický kraj,SK042,Sobrance,SK0429,Choňkovce,SK0429522503,-189544.074426754,-1233971.03983304,22.250409524727,48.7972901216398
820865,Chorvátsky Grob,507911,Chorvátsky Grob,108,Senec,1,Bratislavský,Bratislavský kraj,SK010,Senec,SK0108,Chorvátsky Grob,SK0108507911,-561070.139693233,-1272933.80344978,17.2665899844874,48.2260422318871
820873,Chotča,527335,Chotča,711,Stropkov,7,Prešovský,Prešovský kraj,SK041,Stropkov,SK041B,Chotča,SK041B527335,-228271.493625785,-1183100.01428548,21.6953443320977,49.2414328483373
820881,Chotín,501158,Chotín,401,Komárno,4,Nitriansky,Nitriansky kraj,SK023,Komárno,SK0231,Chotín,SK0231501158,-493931.749533687,-1325588.43193247,18.2279938980829,47.8103661647556
820903,Chrabrany,556165,Chrabrany,406,Topoľčany,4,Nitriansky,Nitriansky kraj,SK023,Topoľčany,SK0236,Chrabrany,SK0236556165,-493644.028238219,-1246064.3376289,18.1390584452439,48.5230962754565
820911,Chrámec,514969,Chrámec,609,Rimavská Sobota,6,Banskobystrický,Banskobystrický kraj,SK032,Rimavská Sobota,SK0329,Chrámec,SK0329514969,-345423.417625834,-1285190.99529059,20.174546597331,48.270892295787
820938,Chrasť nad Hornádom,543152,Chrasť nad Hornádom,810,Spišská Nová Ves,8,Košický,Košický kraj,SK042,Spišská Nová Ves,SK042A,Chrasť nad Hornádom,SK042A543152,-302810.804213335,-1215727.65700754,20.6973212312553,48.9165721335666
820946,Chrastince,516058,Chrastince,610,Veľký Krtíš,6,Banskobystrický,Banskobystrický kraj,SK032,Veľký Krtíš,SK032A,Chrastince,SK032A516058,-416004.479318519,-1300144.3213251,19.2408839429677,48.0942551928765
820954,Chrastné,521477,Chrastné,806,Košice - okolie,8,Košický,Košický kraj,SK042,Košice - okolie,SK0426,Chrastné,SK0426521477,-254989.086506193,-1231497.50511225,21.3589195862102,48.7962712072041
820962,Malé Chrašťany,500062,Beladice,407,Zlaté Moravce,4,Nitriansky,Nitriansky kraj,SK023,Zlaté Moravce,SK0237,Beladice,SK0237500062,-483346.347268042,-1269498.61206198,18.3050070241619,48.3211176039299
820971,Veľké Chrašťany,500062,Beladice,407,Zlaté Moravce,4,Nitriansky,Nitriansky kraj,SK023,Zlaté Moravce,SK0237,Beladice,SK0237500062,-483360.51551725,-1268004.89381578,18.3030998164515,48.3344918009076
820989,Brusno,514021,Chrenovec-Brusno,307,Prievidza,3,Trenčiansky,Trenčiansky kraj,SK022,Prievidza,SK0227,Chrenovec-Brusno,SK0227514021,-448809.724247087,-1223130.36587566,18.7193595411806,48.7623382736405
820997,Chrenovec,514021,Chrenovec-Brusno,307,Prievidza,3,Trenčiansky,Trenčiansky kraj,SK022,Prievidza,SK0227,Chrenovec-Brusno,SK0227514021,-446731.930377498,-1219566.53130925,18.7436821093607,48.7957750535211
